feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
h1_ma_gap_sma50_31,"(0.251, 0.655]",0.2508400000000108,0.6477799999999831,98,0.06437916308641434,0.195993110537529,0.06403215229511261,0.1936284601688385,-0.0023646503686904907,0.4897959183673469,0.4897959183673469,0.0,0.5918367346938775,0.4897959183673469,0.5833333333333334,0.4,0.009705123491585255,0.0028571418952196836,0.03197936713695526,0.2530050277709961,0.0433795423267763,0.0,-0.0023646741649326016,0.694297194480896,0.5204081632653061,0.9285714285714286,0.9583333333333334,0.1,0.523201584815979,0.013179576024413109
h1_ma_gap_sma50_31,"(0.655, 1.487]",0.6571799999999826,1.486940000000004,99,0.03549106791615486,0.14570468664169312,0.033234626054763794,0.1419273465871811,-0.003777340054512024,0.5555555555555556,0.5252525252525253,0.030303030303030276,0.7070707070707071,0.5252525252525253,0.75,0.3404255319148936,0.021387945860624313,0.0054444423876702785,0.040181662887334824,0.18229320645332336,-0.026723786268585084,0.0,-0.0037773259811931196,0.6912746429443359,0.5353535353535354,0.9494949494949495,0.9615384615384616,0.06382978723404255,0.5270466208457947,0.017585624009370804
h1_macd_31,"(-0.32, -0.0309]",-0.3191687643878822,-0.0311376549464341,99,0.06453172862529755,0.20419684052467346,0.05842500925064087,0.1967562735080719,-0.0074405670166015625,0.43434343434343436,0.6262626262626263,-0.19191919191919193,0.3838383838383838,0.6262626262626263,0.3548387096774194,0.5675675675675675,-0.003665129654109478,0.052636366337537766,0.03603186085820198,0.23744139075279236,-0.21536953017046168,0.0,-0.007440594144899283,0.6830865144729614,0.5555555555555556,0.8686868686868687,0.8387096774193549,0.08108108108108109,0.5221911072731018,0.01783377304673195
h1_macd_31,"(-0.0309, 0.0787]",-0.0303783216248518,0.0785231048229775,98,0.036813534796237946,0.14633657038211823,0.03690433129668236,0.14810623228549957,0.0017696619033813477,0.5306122448979592,0.5408163265306123,-0.010204081632653073,0.41836734693877553,0.5408163265306123,0.4528301886792453,0.6222222222222222,-0.0013041292550042272,0.004877550061792135,0.030862780287861824,0.19208848476409912,0.09067986435074486,0.0,0.001769675065440183,0.6913376450538635,0.5,0.9387755102040817,0.9056603773584906,0.022222222222222223,0.5244677066802979,0.014335370622575283
h1_macd_31,"(0.0787, 0.167]",0.0789273617843662,0.1650649290237424,98,0.0704750269651413,0.19363436102867126,0.07140570878982544,0.19317376613616943,-0.00046059489250183105,0.5408163265306123,0.5510204081632653,-0.010204081632652962,0.6836734693877551,0.5510204081632653,0.7037037037037037,0.3409090909090909,0.01847522333264351,0.04501020163297653,0.0366775281727314,0.2645580768585205,0.08065724668580132,0.0,-0.0004606027517239645,0.6889045834541321,0.5714285714285714,0.9387755102040817,0.9629629629629629,0.09090909090909091,0.5254707932472229,0.01452189777046442
h1_macd_31,"(0.167, 0.395]",0.1677842931150337,0.3950267411128436,99,0.0325700081884861,0.1408708542585373,0.030718853697180748,0.13666057586669922,-0.004210278391838074,0.5151515151515151,0.5151515151515151,0.0,0.696969696969697,0.5151515151515151,0.7058823529411765,0.3125,0.021802211180329323,-0.0032525279093533754,0.03949546813964844,0.17494410276412964,0.016141878885717147,0.0,-0.004210279511306624,0.6910532116889954,0.5353535353535354,0.9595959595959596,0.9803921568627451,0.0625,0.5280980467796326,0.017071479931473732
h1_macd_hist_31,"(-0.13, -0.034]",-0.1289947326916036,-0.0340593400036402,99,0.04531199485063553,0.16116541624069214,0.043928541243076324,0.15640656650066376,-0.004758849740028381,0.42424242424242425,0.5959595959595959,-0.17171717171717166,0.3838383838383838,0.5959595959595959,0.3389830508474576,0.55,-0.005516562610864639,0.027797983959317207,0.028431665152311325,0.2085961252450943,0.009995709122259371,0.0,-0.0047588386206012835,0.6864919066429138,0.5454545454545454,0.9494949494949495,0.9152542372881356,0.0,0.5220897793769836,0.01422648224979639
h1_macd_hist_31,"(-0.034, 0.00271]",-0.0339954558405295,0.0026445507429352,98,0.04549670219421387,0.16369812190532684,0.04260510206222534,0.16235773265361786,-0.0013403892517089844,0.5510204081632653,0.6326530612244898,-0.08163265306122458,0.4897959183673469,0.6326530612244898,0.532258064516129,0.5833333333333334,0.001743482192978263,0.04868367314338684,0.039994653314352036,0.2022387683391571,-0.0490345038659746,0.0,-0.001340383062690339,0.6823742985725403,0.5714285714285714,0.8979591836734694,0.8709677419354839,0.05555555555555555,0.5226520895957947,0.016590770334005356
h1_macd_hist_31,"(0.00271, 0.0376]",0.0027691680911603,0.0364968457120703,98,0.03985193371772766,0.15141600370407104,0.040281228721141815,0.1550225168466568,0.0036065131425857544,0.5816326530612245,0.5102040816326531,0.0714285714285714,0.5,0.5102040816326531,0.58,0.5833333333333334,0.00956649798899889,0.020438773557543755,0.036657292395830154,0.2002776712179184,0.11722011015674684,0.0,0.003606491170975627,0.6888167858123779,0.5306122448979592,0.9183673469387755,0.94,0.10416666666666667,0.5259692668914795,0.0175522118806839
h1_macd_hist_31,"(0.0376, 0.139]",0.0380166672232728,0.1390151217793034,99,0.07350806146860123,0.2085079848766327,0.07038222998380661,0.200668603181839,-0.007839381694793701,0.46464646464646464,0.494949494949495,-0.03030303030303033,0.8080808080808081,0.494949494949495,0.7755102040816326,0.16,0.029455555602908134,0.0025454554706811905,0.035319194197654724,0.26525214314460754,-0.06285788619711195,0.0,-0.007839403801945723,0.6966075897216797,0.5151515151515151,0.9393939393939394,0.9591836734693877,0.08,0.5295030474662781,0.014989349991083145
