timestamp,time,open,high,low,close
2025-12-03 01:00:00+0900,1764691200,155.973,156.178,155.82,155.871
2025-12-03 03:00:00+0900,1764698400,155.871,156.083,155.753,155.943
2025-12-03 05:00:00+0900,1764705600,155.941,156.018,155.845,155.891
2025-12-03 07:00:00+0900,1764712800,155.891,155.898,155.794,155.814
2025-12-03 09:00:00+0900,1764720000,155.82,155.905,155.756,155.764
2025-12-03 11:00:00+0900,1764727200,155.764,155.807,155.603,155.655
2025-12-03 13:00:00+0900,1764734400,155.655,155.803,155.629,155.654
2025-12-03 15:00:00+0900,1764741600,155.654,155.746,155.627,155.694
2025-12-03 17:00:00+0900,1764748800,155.693,155.708,155.509,155.685
2025-12-03 19:00:00+0900,1764756000,155.683,155.754,155.529,155.617
2025-12-03 21:00:00+0900,1764763200,155.619,155.643,155.41,155.418
2025-12-03 23:00:00+0900,1764770400,155.418,155.522,155.219,155.487
2025-12-04 01:00:00+0900,1764777600,155.49,155.598,155.21,155.216
2025-12-04 03:00:00+0900,1764784800,155.216,155.246,155.008,155.124
2025-12-04 05:00:00+0900,1764792000,155.123,155.178,155.069,155.148
2025-12-04 07:00:00+0900,1764799200,155.149,155.307,155.125,155.214
2025-12-04 09:00:00+0900,1764806400,155.214,155.233,155.073,155.11
2025-12-04 11:00:00+0900,1764813600,155.112,155.404,155.023,155.259
2025-12-04 13:00:00+0900,1764820800,155.26,155.539,155.256,155.392
2025-12-04 15:00:00+0900,1764828000,155.392,155.503,155.183,155.222
2025-12-04 17:00:00+0900,1764835200,155.22,155.45,155.205,155.241
2025-12-04 19:00:00+0900,1764842400,155.241,155.248,154.77,154.81
2025-12-04 21:00:00+0900,1764849600,154.814,154.89,154.52,154.527
2025-12-04 23:00:00+0900,1764856800,154.528,155.055,154.505,154.8
2025-12-05 01:00:00+0900,1764864000,154.802,154.897,154.555,154.633
2025-12-05 03:00:00+0900,1764871200,154.632,154.965,154.628,154.939
2025-12-05 05:00:00+0900,1764878400,154.939,155.039,154.893,155.017
2025-12-05 07:00:00+0900,1764885600,155.019,155.13,154.993,155.083
2025-12-05 09:00:00+0900,1764892800,155.077,155.161,154.971,155.13
2025-12-05 11:00:00+0900,1764900000,155.131,155.229,154.914,155.016
2025-12-05 13:00:00+0900,1764907200,155.016,155.156,155.003,155.12
2025-12-05 15:00:00+0900,1764914400,155.121,155.123,154.542,154.598
2025-12-05 17:00:00+0900,1764921600,154.597,154.699,154.344,154.627
2025-12-05 19:00:00+0900,1764928800,154.627,154.963,154.605,154.914
2025-12-05 21:00:00+0900,1764936000,154.913,155.224,154.886,155.141
2025-12-05 23:00:00+0900,1764943200,155.142,155.264,155.081,155.196
2025-12-06 01:00:00+0900,1764950400,155.195,155.355,155.114,155.25
2025-12-06 03:00:00+0900,1764957600,155.251,155.492,155.205,155.284
2025-12-06 05:00:00+0900,1764964800,155.284,155.323,155.238,155.291
2025-12-06 07:00:00+0900,1764972000,155.291,155.365,155.212,155.214
2025-12-08 09:00:00+0900,1765152000,155.146,155.383,155.136,155.308
2025-12-08 11:00:00+0900,1765159200,155.309,155.322,154.911,154.918
2025-12-08 13:00:00+0900,1765166400,154.918,155.113,154.9,155.1
2025-12-08 15:00:00+0900,1765173600,155.101,155.264,155.053,155.199
2025-12-08 17:00:00+0900,1765180800,155.199,155.354,155.102,155.353
2025-12-08 19:00:00+0900,1765188000,155.358,155.544,155.262,155.473
2025-12-08 21:00:00+0900,1765195200,155.473,155.589,155.406,155.584
2025-12-08 23:00:00+0900,1765202400,155.584,155.66,155.471,155.626
2025-12-09 01:00:00+0900,1765209600,155.626,155.983,155.395,155.854
2025-12-09 03:00:00+0900,1765216800,155.854,155.954,155.726,155.748
2025-12-09 05:00:00+0900,1765224000,155.748,155.915,155.702,155.91
2025-12-09 07:00:00+0900,1765231200,155.91,155.948,155.849,155.909
2025-12-09 09:00:00+0900,1765238400,155.906,155.975,155.796,155.841
2025-12-09 11:00:00+0900,1765245600,155.841,156.032,155.764,155.793
2025-12-09 13:00:00+0900,1765252800,155.8,155.905,155.74,155.82
2025-12-09 15:00:00+0900,1765260000,155.823,156.11,155.809,156.006
2025-12-09 17:00:00+0900,1765267200,156.004,156.195,155.956,156.191
2025-12-09 19:00:00+0900,1765274400,156.192,156.432,155.976,156.084
2025-12-09 21:00:00+0900,1765281600,156.086,156.202,156.041,156.188
2025-12-09 23:00:00+0900,1765288800,156.188,156.515,156.185,156.339
2025-12-10 01:00:00+0900,1765296000,156.338,156.913,156.311,156.864
2025-12-10 03:00:00+0900,1765303200,156.864,156.925,156.807,156.916
