timestamp,time,open,high,low,close,spread
2025-10-24 03:00:00+0900,1761242400,152.612,152.671,152.58,152.668,0.004
2025-10-24 03:15:00+0900,1761243300,152.674,152.727,152.667,152.713,0.004
2025-10-24 03:30:00+0900,1761244200,152.714,152.76,152.68,152.713,0.004
2025-10-24 03:45:00+0900,1761245100,152.711,152.761,152.704,152.724,0.004
2025-10-24 04:00:00+0900,1761246000,152.72,152.766,152.69,152.751,0.004
2025-10-24 04:15:00+0900,1761246900,152.751,152.796,152.687,152.698,0.004
2025-10-24 04:30:00+0900,1761247800,152.696,152.723,152.671,152.718,0.004
2025-10-24 04:45:00+0900,1761248700,152.717,152.743,152.706,152.717,0.004
2025-10-24 05:00:00+0900,1761249600,152.716,152.733,152.649,152.728,0.004
2025-10-24 05:15:00+0900,1761250500,152.728,152.747,152.689,152.738,0.004
2025-10-24 05:30:00+0900,1761251400,152.738,152.765,152.67,152.676,0.004
2025-10-24 05:45:00+0900,1761252300,152.677,152.684,152.612,152.615,0.004
2025-10-24 06:00:00+0900,1761253200,152.613,152.647,152.607,152.631,0.004
2025-10-24 06:15:00+0900,1761254100,152.631,152.644,152.588,152.605,0.004
2025-10-24 06:30:00+0900,1761255000,152.605,152.613,152.551,152.552,0.004
2025-10-24 06:45:00+0900,1761255900,152.551,152.558,152.518,152.531,0.004
2025-10-24 07:00:00+0900,1761256800,152.531,152.534,152.491,152.521,0.005
2025-10-24 07:15:00+0900,1761257700,152.522,152.559,152.522,152.549,0.005
2025-10-24 07:30:00+0900,1761258600,152.549,152.564,152.538,152.544,0.005
2025-10-24 07:45:00+0900,1761259500,152.546,152.564,152.508,152.563,0.005
2025-10-24 08:00:00+0900,1761260400,152.563,152.608,152.557,152.593,0.005
2025-10-24 08:15:00+0900,1761261300,152.593,152.597,152.554,152.569,0.005
2025-10-24 08:30:00+0900,1761262200,152.569,152.598,152.568,152.598,0.005
2025-10-24 08:45:00+0900,1761263100,152.588,152.594,152.535,152.536,0.014
2025-10-24 09:00:00+0900,1761264000,152.534,152.534,152.477,152.515,0.051000000000000004
2025-10-24 09:15:00+0900,1761264900,152.515,152.571,152.514,152.557,0.049
2025-10-24 09:30:00+0900,1761265800,152.558,152.571,152.552,152.563,0.052000000000000005
2025-10-24 09:45:00+0900,1761266700,152.564,152.584,152.507,152.515,0.038
2025-10-24 10:00:00+0900,1761267600,152.53,152.548,152.506,152.515,0.022
2025-10-24 10:15:00+0900,1761268500,152.514,152.553,152.514,152.517,0.024
2025-10-24 10:30:00+0900,1761269400,152.514,152.569,152.491,152.566,0.022
2025-10-24 10:45:00+0900,1761270300,152.576,152.591,152.542,152.584,0.005
2025-10-24 11:00:00+0900,1761271200,152.58,152.627,152.56,152.615,0.005
2025-10-24 11:15:00+0900,1761272100,152.615,152.629,152.6,152.627,0.005
2025-10-24 11:30:00+0900,1761273000,152.627,152.671,152.574,152.578,0.005
2025-10-24 11:45:00+0900,1761273900,152.578,152.637,152.573,152.606,0.005
2025-10-24 12:00:00+0900,1761274800,152.607,152.61,152.504,152.549,0.004
2025-10-24 12:15:00+0900,1761275700,152.549,152.601,152.524,152.542,0.004
2025-10-24 12:30:00+0900,1761276600,152.541,152.559,152.469,152.537,0.004
2025-10-24 12:45:00+0900,1761277500,152.537,152.663,152.524,152.646,0.004
2025-10-24 13:00:00+0900,1761278400,152.646,152.743,152.635,152.713,0.004
2025-10-24 13:15:00+0900,1761279300,152.714,152.872,152.697,152.83,0.004
2025-10-24 13:30:00+0900,1761280200,152.831,152.892,152.826,152.85,0.004
2025-10-24 13:45:00+0900,1761281100,152.85,152.901,152.825,152.895,0.004
2025-10-24 14:00:00+0900,1761282000,152.895,152.914,152.829,152.841,0.004
